# "Fiber Length" "Sig_Fwd (180.0000 THz)" "Sig_Fwd (180.2000 THz)" "Sig_Fwd (180.4000 THz)" "Sig_Fwd (180.6000 THz)" "Sig_Fwd (180.8000 THz)" "Sig_Fwd (181.0000 THz)" "Sig_Fwd (181.2000 THz)" "Sig_Fwd (181.4000 THz)" "Sig_Fwd (181.6000 THz)" "Sig_Fwd (181.8000 THz)" "Sig_Fwd (182.0000 THz)" "Sig_Fwd (182.2000 THz)" "Sig_Fwd (182.4000 THz)" "Sig_Fwd (182.6000 THz)" "Sig_Fwd (182.8000 THz)" "Sig_Fwd (183.0000 THz)" "Sig_Fwd (183.2000 THz)" "Sig_Fwd (183.4000 THz)" "Sig_Fwd (183.6000 THz)" "Sig_Fwd (183.8000 THz)" "Sig_Fwd (184.0000 THz)" "Sig_Fwd (184.2000 THz)" "Sig_Fwd (184.4000 THz)" "Sig_Fwd (184.6000 THz)" "Sig_Fwd (184.8000 THz)" "Sig_Fwd (185.0000 THz)" "Sig_Fwd (185.2000 THz)" "Sig_Fwd (185.4000 THz)" "Sig_Fwd (185.6000 THz)" "Sig_Fwd (185.8000 THz)" "Sig_Fwd (186.0000 THz)" "Sig_Fwd (186.2000 THz)" "Sig_Fwd (186.4000 THz)" "Sig_Fwd (186.6000 THz)" "Sig_Fwd (186.8000 THz)" "Sig_Fwd (187.0000 THz)" "Sig_Fwd (187.2000 THz)" "Sig_Fwd (187.4000 THz)" "Sig_Fwd (187.6000 THz)" "Sig_Fwd (187.8000 THz)" "Sig_Fwd (188.0000 THz)" "Sig_Fwd (188.2000 THz)" "Sig_Fwd (188.4000 THz)" "Sig_Fwd (188.6000 THz)" "Sig_Fwd (188.8000 THz)" "Sig_Fwd (189.0000 THz)" "Sig_Fwd (189.2000 THz)" "Sig_Fwd (189.4000 THz)" "Sig_Fwd (189.6000 THz)" "Sig_Fwd (189.8000 THz)" "Sig_Fwd (190.0000 THz)" "Sig_Fwd (190.2000 THz)" "Sig_Fwd (190.4000 THz)" "Sig_Fwd (190.6000 THz)" "Sig_Fwd (190.8000 THz)" "Sig_Fwd (191.0000 THz)" "Sig_Fwd (191.2000 THz)" "Sig_Fwd (191.4000 THz)" "Sig_Fwd (191.6000 THz)" "Sig_Fwd (191.8000 THz)" "Sig_Fwd (192.0000 THz)" "Sig_Fwd (192.2000 THz)" "Sig_Fwd (192.4000 THz)" "Sig_Fwd (192.6000 THz)" "Sig_Fwd (192.8000 THz)" "Sig_Fwd (193.0000 THz)" "Sig_Fwd (193.2000 THz)" "Sig_Fwd (193.4000 THz)" "Sig_Fwd (193.6000 THz)" "Sig_Fwd (193.8000 THz)" "Sig_Fwd (194.0000 THz)" "Sig_Fwd (194.2000 THz)" "Sig_Fwd (194.4000 THz)" "Sig_Fwd (194.6000 THz)" "Sig_Fwd (194.8000 THz)" "Sig_Fwd (195.0000 THz)" "Sig_Fwd (195.2000 THz)" "Sig_Fwd (195.4000 THz)" "Sig_Fwd (195.6000 THz)" "Sig_Fwd (195.8000 THz)" "Sig_Fwd (196.0000 THz)" "Sig_Fwd (196.2000 THz)" "Sig_Fwd (196.4000 THz)" "Sig_Fwd (196.6000 THz)" "Sig_Fwd (196.8000 THz)" "Sig_Fwd (197.0000 THz)" "Sig_Fwd (197.2000 THz)" "Sig_Fwd (197.4000 THz)" "Sig_Fwd (197.6000 THz)" "Sig_Fwd (197.8000 THz)" "Sig_Fwd (198.0000 THz)" "Sig_Fwd (198.2000 THz)" "Sig_Fwd (198.4000 THz)" "Sig_Fwd (198.6000 THz)" "Sig_Fwd (198.8000 THz)" "Sig_Fwd (199.0000 THz)" "Sig_Fwd (199.2000 THz)" "Sig_Fwd (199.4000 THz)" "Sig_Fwd (199.6000 THz)" "Sig_Fwd (199.8000 THz)" "Sig_Bwd (200.0000 THz)" ASE_Fwd ASE_Bwd 
# (km) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) 
 9.0000000 -31.7942913 -31.7939263 -31.7932626 -31.7922353 -31.7911389 -31.7898291 -31.7876606 -31.7845425 -31.7822589 -31.7805691 -31.7815896 -31.7847731 -31.7859827 -31.7865661 -31.7869084 -31.7866390 -31.7861301 -31.7854661 -31.7846406 -31.7833949 -31.7821660 -31.7806578 -31.7787807 -31.7763277 -31.7710548 -31.7611721 -31.7513125 -31.7438733 -31.7461447 -31.7463250 -31.7454113 -31.7443864 -31.7436113 -31.7427836 -31.7420717 -31.7421447 -31.7426105 -31.7431748 -31.7440160 -31.7448602 -31.7458903 -31.7469369 -31.7477865 -31.7491379 -31.7501202 -31.7513783 -31.7524819 -31.7534440 -31.7545922 -31.7558758 -31.7573809 -31.7588124 -31.7600812 -31.7612668 -31.7623689 -31.7639233 -31.7652077 -31.7664587 -31.7677066 -31.7692287 -31.7703509 -31.7713717 -31.7724985 -31.7736416 -31.7748162 -31.7759961 -31.7771381 -31.7779916 -31.7788112 -31.7797096 -31.7803002 -31.7810132 -31.7816585 -31.7823093 -31.7830962 -31.7836737 -31.7840037 -31.7843395 -31.7846793 -31.7850056 -31.7853401 -31.7855970 -31.7859015 -31.7863119 -31.7868158 -31.7873316 -31.7880042 -31.7887473 -31.7894347 -31.7901629 -31.7908641 -31.7918543 -31.7928784 -31.7941216 -31.7956043 -31.7968743 -31.7982777 -31.7993011 -31.7998874 -31.8003276 6.5690565 -46.2407847 -33.0246350 
 10.0000000 -31.9935244 -31.9931087 -31.9923527 -31.9911826 -31.9899338 -31.9884420 -31.9859721 -31.9824207 -31.9798197 -31.9778948 -31.9790568 -31.9826822 -31.9840596 -31.9847239 -31.9851135 -31.9848064 -31.9842265 -31.9834700 -31.9825296 -31.9811105 -31.9797105 -31.9779924 -31.9758542 -31.9730601 -31.9670542 -31.9557981 -31.9445682 -31.9360948 -31.9386810 -31.9388855 -31.9378441 -31.9366760 -31.9357924 -31.9348489 -31.9340371 -31.9341194 -31.9346490 -31.9352908 -31.9362479 -31.9372084 -31.9383807 -31.9395717 -31.9405384 -31.9420766 -31.9431945 -31.9446264 -31.9458823 -31.9469771 -31.9482838 -31.9497448 -31.9514581 -31.9530874 -31.9545315 -31.9558808 -31.9571350 -31.9589044 -31.9603662 -31.9617901 -31.9632104 -31.9649429 -31.9662200 -31.9673816 -31.9686640 -31.9699649 -31.9713017 -31.9726446 -31.9739442 -31.9749153 -31.9758479 -31.9768702 -31.9775419 -31.9783531 -31.9790872 -31.9798276 -31.9807230 -31.9813800 -31.9817553 -31.9821372 -31.9825239 -31.9828951 -31.9832756 -31.9835678 -31.9839142 -31.9843812 -31.9849548 -31.9855420 -31.9863076 -31.9871537 -31.9879362 -31.9887653 -31.9895635 -31.9906909 -31.9918570 -31.9932725 -31.9949609 -31.9964071 -31.9980053 -31.9991708 -31.9998385 -32.0003397 6.7691203 -45.7560296 -32.8625519 
 11.0000000 -32.1927254 -32.1922565 -32.1914039 -32.1900843 -32.1886760 -32.1869935 -32.1842080 -32.1802027 -32.1772693 -32.1750983 -32.1764084 -32.1804966 -32.1820496 -32.1827984 -32.1832376 -32.1828910 -32.1822367 -32.1813833 -32.1803225 -32.1787218 -32.1771427 -32.1752048 -32.1727931 -32.1696416 -32.1628682 -32.1501739 -32.1375089 -32.1279524 -32.1308680 -32.1310979 -32.1299225 -32.1286044 -32.1276070 -32.1265420 -32.1256257 -32.1257175 -32.1263138 -32.1270365 -32.1281149 -32.1291971 -32.1305181 -32.1318602 -32.1329494 -32.1346830 -32.1359426 -32.1375564 -32.1389717 -32.1402053 -32.1416778 -32.1433244 -32.1452554 -32.1470918 -32.1487193 -32.1502399 -32.1516533 -32.1536477 -32.1552951 -32.1568997 -32.1585004 -32.1604531 -32.1618924 -32.1632013 -32.1646464 -32.1661124 -32.1676189 -32.1691323 -32.1705969 -32.1716910 -32.1727417 -32.1738936 -32.1746502 -32.1755640 -32.1763909 -32.1772249 -32.1782338 -32.1789740 -32.1793967 -32.1798268 -32.1802624 -32.1806805 -32.1811092 -32.1814383 -32.1818286 -32.1823549 -32.1830013 -32.1836631 -32.1845262 -32.1854800 -32.1863622 -32.1872967 -32.1881966 -32.1894676 -32.1907821 -32.1923782 -32.1942820 -32.1959127 -32.1977148 -32.1990291 -32.1997818 -32.2003469 6.9691817 -45.3118284 -32.7009464 
 12.0000000 -32.3918925 -32.3913680 -32.3904143 -32.3889381 -32.3873627 -32.3854804 -32.3823644 -32.3778839 -32.3746023 -32.3721736 -32.3736387 -32.3782115 -32.3799484 -32.3807858 -32.3812767 -32.3808887 -32.3801566 -32.3792016 -32.3780146 -32.3762238 -32.3744570 -32.3722889 -32.3695907 -32.3660650 -32.3584878 -32.3442873 -32.3301195 -32.3194288 -32.3226893 -32.3229454 -32.3216298 -32.3201544 -32.3190378 -32.3178454 -32.3168194 -32.3169211 -32.3175870 -32.3183944 -32.3195997 -32.3208091 -32.3222857 -32.3237859 -32.3250032 -32.3269413 -32.3283493 -32.3301533 -32.3317354 -32.3331141 -32.3347602 -32.3366009 -32.3387599 -32.3408129 -32.3426323 -32.3443322 -32.3459121 -32.3481418 -32.3499835 -32.3517773 -32.3535667 -32.3557499 -32.3573587 -32.3588217 -32.3604371 -32.3620759 -32.3637599 -32.3654517 -32.3670889 -32.3683117 -32.3694860 -32.3707734 -32.3716187 -32.3726399 -32.3735639 -32.3744957 -32.3756234 -32.3764506 -32.3769228 -32.3774034 -32.3778901 -32.3783573 -32.3788364 -32.3792041 -32.3796402 -32.3802285 -32.3809512 -32.3816911 -32.3826562 -32.3837227 -32.3847091 -32.3857542 -32.3867603 -32.3881816 -32.3896517 -32.3914367 -32.3935660 -32.3953899 -32.3974056 -32.3988755 -32.3997174 -32.4003494 7.1692408 -44.9005997 -32.5398367 
 13.0000000 -32.5910241 -32.5904413 -32.5893816 -32.5877415 -32.5859910 -32.5838997 -32.5804376 -32.5754594 -32.5718131 -32.5691144 -32.5707419 -32.5758220 -32.5777515 -32.5786815 -32.5792267 -32.5787953 -32.5779815 -32.5769202 -32.5756011 -32.5736111 -32.5716477 -32.5692385 -32.5662403 -32.5623227 -32.5539037 -32.5381259 -32.5223843 -32.5105057 -32.5141273 -32.5144109 -32.5129482 -32.5113080 -32.5100664 -32.5087406 -32.5075996 -32.5077115 -32.5084502 -32.5093461 -32.5106841 -32.5120266 -32.5136660 -32.5153317 -32.5166829 -32.5188351 -32.5203982 -32.5224013 -32.5241579 -32.5256886 -32.5275163 -32.5295601 -32.5319576 -32.5342374 -32.5362576 -32.5381450 -32.5398991 -32.5423752 -32.5444202 -32.5464120 -32.5483988 -32.5508232 -32.5526095 -32.5542337 -32.5560272 -32.5578468 -32.5597166 -32.5615950 -32.5634128 -32.5647702 -32.5660738 -32.5675030 -32.5684410 -32.5695746 -32.5706001 -32.5716343 -32.5728862 -32.5738044 -32.5743283 -32.5748618 -32.5754019 -32.5759205 -32.5764522 -32.5768603 -32.5773444 -32.5779976 -32.5788000 -32.5796217 -32.5806936 -32.5818781 -32.5829736 -32.5841343 -32.5852517 -32.5868303 -32.5884633 -32.5904461 -32.5928115 -32.5948376 -32.5970769 -32.5987098 -32.5996451 -32.6003471 7.3692978 -44.5165942 -32.3792416 
 14.0000000 -32.7901182 -32.7894744 -32.7883037 -32.7864919 -32.7845582 -32.7822479 -32.7784233 -32.7729239 -32.7688958 -32.7659144 -32.7677118 -32.7733232 -32.7754543 -32.7764813 -32.7770832 -32.7766063 -32.7757070 -32.7745343 -32.7730768 -32.7708781 -32.7687089 -32.7660471 -32.7627347 -32.7584067 -32.7491061 -32.7316766 -32.7142870 -32.7011644 -32.7051639 -32.7054762 -32.7038594 -32.7020465 -32.7006739 -32.6992083 -32.6979467 -32.6980691 -32.6988840 -32.6998725 -32.7013492 -32.7028310 -32.7046408 -32.7064796 -32.7079710 -32.7103472 -32.7120726 -32.7142841 -32.7162232 -32.7179128 -32.7199305 -32.7221870 -32.7248341 -32.7273512 -32.7295816 -32.7316652 -32.7336016 -32.7363356 -32.7385933 -32.7407923 -32.7429857 -32.7456626 -32.7476345 -32.7494274 -32.7514073 -32.7534161 -32.7554802 -32.7575540 -32.7595608 -32.7610590 -32.7624978 -32.7640754 -32.7651105 -32.7663615 -32.7674932 -32.7686345 -32.7700164 -32.7710298 -32.7716078 -32.7721965 -32.7727925 -32.7733649 -32.7739517 -32.7744020 -32.7749363 -32.7756573 -32.7765433 -32.7774505 -32.7786341 -32.7799422 -32.7811519 -32.7824336 -32.7836675 -32.7854109 -32.7872142 -32.7894041 -32.7920167 -32.7942547 -32.7967280 -32.7985317 -32.7995646 -32.8003400 7.5693526 -44.1553509 -32.2191806 
 15.0000000 -32.9891729 -32.9884652 -32.9871783 -32.9851867 -32.9830610 -32.9805214 -32.9763172 -32.9702721 -32.9658441 -32.9625666 -32.9645419 -32.9707096 -32.9730517 -32.9741803 -32.9748416 -32.9743170 -32.9733282 -32.9720388 -32.9704363 -32.9680191 -32.9656342 -32.9627080 -32.9590665 -32.9543086 -32.9440848 -32.9249257 -32.9058102 -32.8913849 -32.8957801 -32.8961223 -32.8943440 -32.8923502 -32.8908402 -32.8892281 -32.8878402 -32.8879736 -32.8888680 -32.8899533 -32.8915753 -32.8932028 -32.8951908 -32.8972107 -32.8988488 -32.9014594 -32.9033547 -32.9057843 -32.9079145 -32.9097704 -32.9119869 -32.9144659 -32.9173743 -32.9201398 -32.9225901 -32.9248791 -32.9270062 -32.9300101 -32.9324904 -32.9349062 -32.9373159 -32.9402570 -32.9424232 -32.9443927 -32.9465677 -32.9487743 -32.9510419 -32.9533201 -32.9555247 -32.9571703 -32.9587505 -32.9604834 -32.9616199 -32.9629939 -32.9642367 -32.9654900 -32.9670079 -32.9681209 -32.9687555 -32.9694019 -32.9700564 -32.9706850 -32.9713295 -32.9718239 -32.9724107 -32.9732027 -32.9741762 -32.9751729 -32.9764735 -32.9779109 -32.9792402 -32.9806485 -32.9820043 -32.9839201 -32.9859019 -32.9883087 -32.9911801 -32.9936398 -32.9963583 -32.9983406 -32.9994758 -33.0003280 7.7694055 -43.8133412 -32.0596739 
 16.0000000 -33.1881861 -33.1874115 -33.1860030 -33.1838231 -33.1814964 -33.1787167 -33.1741150 -33.1674984 -33.1626516 -33.1590639 -33.1612256 -33.1679757 -33.1705388 -33.1717737 -33.1724971 -33.1719226 -33.1708400 -33.1694283 -33.1676739 -33.1650279 -33.1624172 -33.1592140 -33.1552279 -33.1500198 -33.1388293 -33.1178589 -33.0969361 -33.0811465 -33.0859559 -33.0863293 -33.0843818 -33.0821984 -33.0805446 -33.0787789 -33.0772586 -33.0774033 -33.0783810 -33.0795675 -33.0813414 -33.0831215 -33.0852961 -33.0875055 -33.0892971 -33.0921530 -33.0942261 -33.0968839 -33.0992141 -33.1012440 -33.1036686 -33.1063805 -33.1095624 -33.1125878 -33.1152683 -33.1177722 -33.1200989 -33.1233853 -33.1260986 -33.1287413 -33.1313774 -33.1345950 -33.1369645 -33.1391187 -33.1414979 -33.1439117 -33.1463922 -33.1488843 -33.1512958 -33.1530956 -33.1548239 -33.1567193 -33.1579619 -33.1594645 -33.1608235 -33.1621940 -33.1638542 -33.1650715 -33.1657652 -33.1664720 -33.1671878 -33.1678751 -33.1685799 -33.1691205 -33.1697622 -33.1706286 -33.1716935 -33.1727840 -33.1742070 -33.1757798 -33.1772343 -33.1787752 -33.1802586 -33.1823550 -33.1845236 -33.1871573 -33.1902998 -33.1929916 -33.1959667 -33.1981362 -33.1993786 -33.2003111 7.9694565 -43.4877285 -31.9007426 
 17.0000000 -33.3871558 -33.3863111 -33.3847752 -33.3823981 -33.3798610 -33.3768297 -33.3718118 -33.3645967 -33.3593114 -33.3553990 -33.3577556 -33.3651157 -33.3679101 -33.3692563 -33.3700448 -33.3694180 -33.3682371 -33.3666974 -33.3647840 -33.3618982 -33.3590511 -33.3555577 -33.3512107 -33.3455311 -33.3333282 -33.3104611 -33.2876457 -33.2704274 -33.2756704 -33.2760765 -33.2739517 -33.2715697 -33.2697651 -33.2678385 -33.2661794 -33.2663359 -33.2674006 -33.2686931 -33.2706260 -33.2725657 -33.2749355 -33.2773433 -33.2792954 -33.2824082 -33.2846672 -33.2875640 -33.2901034 -33.2923155 -33.2949579 -33.2979135 -33.3013816 -33.3046791 -33.3076005 -33.3103294 -33.3128651 -33.3164471 -33.3194043 -33.3222845 -33.3251575 -33.3286645 -33.3312469 -33.3335944 -33.3361872 -33.3388178 -33.3415212 -33.3442372 -33.3468653 -33.3488264 -33.3507096 -33.3527750 -33.3541287 -33.3557658 -33.3572465 -33.3587395 -33.3605487 -33.3618750 -33.3626307 -33.3634006 -33.3641805 -33.3649293 -33.3656973 -33.3662861 -33.3669853 -33.3679295 -33.3690902 -33.3702788 -33.3718299 -33.3735444 -33.3751299 -33.3768097 -33.3784267 -33.3807120 -33.3830762 -33.3859476 -33.3893738 -33.3923087 -33.3955526 -33.3979180 -33.3992725 -33.4002892 8.1695056 -43.1761998 -31.7424083 
 18.0000000 -33.5860798 -33.5851617 -33.5834923 -33.5809088 -33.5781513 -33.5748567 -33.5694028 -33.5615610 -33.5558165 -33.5515639 -33.5541248 -33.5621234 -33.5651602 -33.5666228 -33.5674794 -33.5667978 -33.5655139 -33.5638401 -33.5617601 -33.5586234 -33.5555285 -33.5517313 -33.5470063 -33.5408331 -33.5275699 -33.5027166 -33.4779192 -33.4592049 -33.4649019 -33.4653420 -33.4630315 -33.4604414 -33.4584789 -33.4563837 -33.4545792 -33.4547479 -33.4559037 -33.4573069 -33.4594063 -33.4615129 -33.4640870 -33.4667025 -33.4688226 -33.4722042 -33.4746580 -33.4778048 -33.4805632 -33.4829658 -33.4858362 -33.4890470 -33.4928147 -33.4963970 -33.4995706 -33.5025349 -33.5052893 -33.5091808 -33.5123932 -33.5155221 -33.5186430 -33.5224530 -33.5252581 -33.5278079 -33.5306244 -33.5334819 -33.5364185 -33.5393688 -33.5422237 -33.5443536 -33.5463989 -33.5486422 -33.5501121 -33.5518901 -33.5534979 -33.5551192 -33.5570842 -33.5585247 -33.5593451 -33.5601812 -33.5610280 -33.5618412 -33.5626753 -33.5633146 -33.5640739 -33.5650996 -33.5663605 -33.5676518 -33.5693371 -33.5712000 -33.5729226 -33.5747478 -33.5765046 -33.5789878 -33.5815567 -33.5846770 -33.5884003 -33.5915898 -33.5951150 -33.5976856 -33.5991575 -33.6002623 8.3695530 -42.8768468 -31.5846938 
 19.0000000 -33.7849557 -33.7839608 -33.7821517 -33.7793520 -33.7763636 -33.7727932 -33.7668829 -33.7583848 -33.7521593 -33.7475506 -33.7503253 -33.7589926 -33.7622830 -33.7638676 -33.7647954 -33.7640564 -33.7626648 -33.7608505 -33.7585960 -33.7551964 -33.7518421 -33.7477267 -33.7426059 -33.7359156 -33.7215422 -33.6946089 -33.6677362 -33.6474551 -33.6536274 -33.6541030 -33.6515981 -33.6487900 -33.6466619 -33.6443900 -33.6424333 -33.6426146 -33.6438656 -33.6453848 -33.6476583 -33.6499397 -33.6527277 -33.6555604 -33.6578565 -33.6615195 -33.6641770 -33.6675855 -33.6705732 -33.6731753 -33.6762842 -33.6797621 -33.6838435 -33.6877239 -33.6911614 -33.6943722 -33.6973554 -33.7015709 -33.7050506 -33.7084396 -33.7118200 -33.7159472 -33.7189854 -33.7217470 -33.7247975 -33.7278925 -33.7310733 -33.7342689 -33.7373610 -33.7396677 -33.7418826 -33.7443122 -33.7459036 -33.7478289 -33.7495699 -33.7513254 -33.7534536 -33.7550134 -33.7559017 -33.7568069 -33.7577239 -33.7586044 -33.7595075 -33.7601998 -33.7610220 -33.7621329 -33.7634988 -33.7648975 -33.7667233 -33.7687415 -33.7706078 -33.7725851 -33.7744882 -33.7771786 -33.7799619 -33.7833428 -33.7873772 -33.7908331 -33.7946530 -33.7974383 -33.7990332 -33.8002303 8.5695988 -42.5880777 -31.4276226 
 20.0000000 -33.9837812 -33.9827058 -33.9807504 -33.9777243 -33.9744942 -33.9706350 -33.9642467 -33.9550613 -33.9483322 -33.9433505 -33.9463490 -33.9557166 -33.9592725 -33.9609849 -33.9619873 -33.9611881 -33.9596835 -33.9577221 -33.9552850 -33.9516100 -33.9479841 -33.9435354 -33.9380000 -33.9307683 -33.9152323 -33.8861209 -33.8570748 -33.8351531 -33.8418230 -33.8423358 -33.8396270 -33.8365906 -33.8342891 -33.8318322 -33.8297158 -33.8299103 -33.8312610 -33.8329015 -33.8353573 -33.8378215 -33.8408333 -33.8438936 -33.8463737 -33.8503312 -33.8532020 -33.8568845 -33.8601121 -33.8629230 -33.8662816 -33.8700390 -33.8744488 -33.8786413 -33.8823551 -33.8858238 -33.8890466 -33.8936013 -33.8973606 -33.9010220 -33.9046741 -33.9091334 -33.9124155 -33.9153988 -33.9186943 -33.9220379 -33.9254742 -33.9289265 -33.9322671 -33.9347587 -33.9371511 -33.9397756 -33.9414942 -33.9435737 -33.9454540 -33.9473500 -33.9496489 -33.9513338 -33.9522929 -33.9532705 -33.9542608 -33.9552118 -33.9561873 -33.9569349 -33.9578230 -33.9590231 -33.9604988 -33.9620100 -33.9639829 -33.9661637 -33.9681803 -33.9703169 -33.9723733 -33.9752806 -33.9782883 -33.9819420 -33.9863021 -33.9900371 -33.9941655 -33.9971758 -33.9988994 -34.0001930 8.7696429 -42.3085529 -31.2712193 
 21.0000000 -34.1825537 -34.1813940 -34.1792854 -34.1760222 -34.1725390 -34.1683774 -34.1614886 -34.1515835 -34.1443270 -34.1389547 -34.1421876 -34.1522883 -34.1561224 -34.1579684 -34.1590489 -34.1581867 -34.1565638 -34.1544484 -34.1518198 -34.1478566 -34.1439461 -34.1391484 -34.1331790 -34.1253801 -34.1086267 -34.0772346 -34.0459125 -34.0222727 -34.0294636 -34.0300153 -34.0270930 -34.0238174 -34.0213342 -34.0186834 -34.0163998 -34.0166080 -34.0180629 -34.0198304 -34.0224769 -34.0251326 -34.0283787 -34.0316771 -34.0343498 -34.0386157 -34.0417097 -34.0456790 -34.0491577 -34.0521871 -34.0558072 -34.0598573 -34.0646107 -34.0691300 -34.0731330 -34.0768717 -34.0803452 -34.0852550 -34.0893071 -34.0932536 -34.0971901 -34.1019969 -34.1055345 -34.1087498 -34.1123017 -34.1159055 -34.1196093 -34.1233304 -34.1269309 -34.1296161 -34.1321943 -34.1350229 -34.1368746 -34.1391155 -34.1411416 -34.1431846 -34.1456621 -34.1474778 -34.1485111 -34.1495645 -34.1506316 -34.1516564 -34.1527076 -34.1535130 -34.1544701 -34.1557635 -34.1573542 -34.1589833 -34.1611101 -34.1634612 -34.1656351 -34.1679385 -34.1701554 -34.1732897 -34.1765324 -34.1804717 -34.1851729 -34.1892001 -34.1936515 -34.1968973 -34.1987557 -34.2001505 8.9696856 -42.0371356 -31.1155096 
 22.0000000 -34.3812707 -34.3800227 -34.3777537 -34.3742422 -34.3704939 -34.3660157 -34.3586026 -34.3479439 -34.3401352 -34.3343539 -34.3378321 -34.3487006 -34.3528258 -34.3548118 -34.3559740 -34.3550458 -34.3532991 -34.3510222 -34.3481933 -34.3439281 -34.3397196 -34.3345565 -34.3281324 -34.3197398 -34.3017114 -34.2679309 -34.2342256 -34.2087866 -34.2165230 -34.2171152 -34.2139693 -34.2104432 -34.2077697 -34.2049158 -34.2024570 -34.2026795 -34.2042435 -34.2061438 -34.2089900 -34.2118460 -34.2153374 -34.2188850 -34.2217593 -34.2263480 -34.2296757 -34.2339452 -34.2376869 -34.2409450 -34.2448387 -34.2491951 -34.2543084 -34.2591697 -34.2634754 -34.2674968 -34.2712328 -34.2765143 -34.2808729 -34.2851179 -34.2893520 -34.2945228 -34.2983277 -34.3017858 -34.3056062 -34.3094824 -34.3134662 -34.3174686 -34.3213413 -34.3242290 -34.3270018 -34.3300439 -34.3320349 -34.3344447 -34.3366234 -34.3388202 -34.3414848 -34.3434374 -34.3445484 -34.3456810 -34.3468285 -34.3479305 -34.3490609 -34.3499269 -34.3509561 -34.3523473 -34.3540584 -34.3558107 -34.3580987 -34.3606281 -34.3629668 -34.3654448 -34.3678296 -34.3712017 -34.3746905 -34.3789288 -34.3839872 -34.3883202 -34.3931099 -34.3966023 -34.3986018 -34.4001025 9.1697268 -41.7728540 -30.9605201 
 23.0000000 -34.5799293 -34.5785890 -34.5761519 -34.5723804 -34.5683546 -34.5635447 -34.5555828 -34.5441349 -34.5357478 -34.5295381 -34.5332733 -34.5449457 -34.5493758 -34.5515083 -34.5527561 -34.5517588 -34.5498823 -34.5474365 -34.5443976 -34.5398162 -34.5352957 -34.5297499 -34.5228496 -34.5138352 -34.4944717 -34.4581902 -34.4219892 -34.3946661 -34.4029737 -34.4036084 -34.4002282 -34.3964396 -34.3935668 -34.3905002 -34.3878578 -34.3880952 -34.3897733 -34.3918126 -34.3948678 -34.3979335 -34.4016817 -34.4054901 -34.4085755 -34.4135021 -34.4170744 -34.4216582 -34.4256751 -34.4291727 -34.4333529 -34.4380299 -34.4435200 -34.4487393 -34.4533620 -34.4576792 -34.4616900 -34.4673606 -34.4720401 -34.4765975 -34.4811433 -34.4866950 -34.4907798 -34.4944921 -34.4985935 -34.5027549 -34.5070317 -34.5113286 -34.5154863 -34.5185861 -34.5215624 -34.5248280 -34.5269648 -34.5295514 -34.5318898 -34.5342476 -34.5371080 -34.5392040 -34.5403962 -34.5416117 -34.5428434 -34.5440261 -34.5452395 -34.5461689 -34.5472736 -34.5487671 -34.5506042 -34.5524857 -34.5549424 -34.5576584 -34.5601696 -34.5628304 -34.5653911 -34.5690121 -34.5727585 -34.5773100 -34.5827423 -34.5873957 -34.5925395 -34.5962902 -34.5984375 -34.6000490 9.3697666 -41.5148720 -30.8062787 
