// Co-polarized Raman gain spectrum for DCF fiber
# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
15.05	2.5984
15.10	2.51992
15.15	2.44144
15.20	2.31696
15.25	2.1829
15.30	2.0949
15.35	2.00698
15.40	1.92582
15.45	1.85154
15.50	1.77726
15.55	1.67326
15.60	1.55824
15.65	1.50248
15.70	1.44784
15.75	1.4005
15.80	1.36144
15.85	1.32228
15.90	1.27992
15.95	1.23512
16.00	1.2037
16.05	1.17608
16.10	1.15098
16.15	1.13424
16.20	1.11748
16.25	1.09668
16.30	1.06938
16.35	1.04218
16.40	1.01306
16.45	0.9835
16.50	0.9605
16.55	0.9376
16.60	0.91756
16.65	0.91024
16.70	0.9029
16.75	0.8928
16.80	0.88084
16.85	0.88058
16.90	0.88152
16.95	0.88438
17.00	0.89398
17.05	0.90366
17.10	0.90316
17.15	0.90004
17.20	0.90476
17.25	0.90948
17.30	0.91848
17.35	0.93348
17.40	0.94854
17.45	0.97844
17.50	1.00294
17.55	1.01314
17.60	1.02342
17.65	1.04346
17.70	1.0683
17.75	1.08454
17.80	1.07402
17.85	1.07916
17.90	1.09676
17.95	1.11428
18.00	1.10072
18.05	1.0843
18.10	1.06804
18.15	1.05222
18.20	1.02502
18.25	0.99418
18.30	0.96446
18.35	0.94358
18.40	0.9227
18.45	0.86266
18.50	0.78274
18.55	0.7557
18.60	0.72952
18.65	0.70206
18.70	0.6725
18.75	0.64294
18.80	0.64698
18.85	0.65306
18.90	0.65212
18.95	0.6512
19.00	0.65456
19.05	0.66004
19.10	0.65642
19.15	0.62476
19.20	0.59318
19.25	0.55798
19.30	0.52286
19.35	0.5109
19.40	0.49904
19.45	0.48412
19.50	0.4672
19.55	0.4501
19.60	0.41272
19.65	0.39242
19.70	0.41558
19.75	0.43882
19.80	0.45028
19.85	0.45448
19.90	0.4587
19.95	0.44336
20.00	0.42704
20.05	0.41044
20.10	0.39376
20.15	0.39024
20.20	0.40564
20.25	0.42096
20.30	0.41094
20.35	0.3915
20.40	0.38948
20.45	0.38938
20.50	0.38854
20.55	0.38636
20.60	0.38426
20.65	0.39048
20.70	0.40092
20.75	0.39024
20.80	0.376
20.85	0.36564
20.90	0.36336
20.95	0.3611
21.00	0.35706
21.05	0.35234
21.10	0.34594
21.15	0.33946
21.20	0.34342
21.25	0.35184
21.30	0.35748
21.35	0.3493
21.40	0.34812
21.45	0.3547
21.50	0.36126
21.55	0.3589
21.60	0.35612
21.65	0.35654
21.70	0.36118
21.75	0.3589
21.80	0.35318
21.85	0.34788
21.90	0.3445
21.95	0.34114
22.00	0.3291
22.05	0.31192
22.10	0.31578
22.15	0.31966
22.20	0.31664
22.25	0.30922
22.30	0.30366
22.35	0.30308
22.40	0.30256
22.45	0.31494
22.50	0.3275
22.55	0.33542
22.60	0.34308
22.65	0.34788
22.70	0.35268
22.75	0.35504
22.80	0.35688
22.85	0.36548
22.90	0.37406
22.95	0.38096
23.00	0.38746
23.05	0.39898
23.10	0.4171
23.15	0.43284
23.20	0.44792
23.25	0.46316
23.30	0.47866
23.35	0.49414
23.40	0.50736
23.45	0.52304
23.50	0.54308
23.55	0.56312
23.60	0.57768
23.65	0.59166
23.70	0.60724
23.75	0.6251
23.80	0.63562
23.85	0.64488
23.90	0.65196
23.95	0.6571
24.00	0.66012
24.05	0.64742
24.10	0.6347
24.15	0.61482
24.20	0.59436
24.25	0.58106
24.30	0.56766
24.35	0.55908
24.40	0.55184
24.45	0.54484
24.50	0.5381
24.55	0.5328
24.60	0.52784
24.65	0.52716
24.70	0.53314
24.75	0.52884
24.80	0.51814
24.85	0.50822
24.90	0.50686
24.95	0.50544
25.00	0.49702
25.05	0.48396
25.10	0.4699
25.15	0.43688
25.20	0.40378
25.25	0.3707
25.30	0.33702
25.35	0.30038
25.40	0.26374
25.45	0.24144
25.50	0.2229
25.55	0.2075
25.60	0.1968
25.65	0.18762
25.70	0.19958
25.75	0.19992
25.80	0.18804
25.85	0.17852
25.90	0.18266
25.95	0.18678
26.00	0.15418
26.05	0.11908
26.10	0.10416
26.15	0.09802
26.20	0.06568
26.25	0.03334
26.30	0.02526
26.35	0.02872
26.40	0.03056
26.45	0.03056
26.50	0.03284
26.55	0.05348
26.60	0.07418
26.65	0.0
26.70	0.0
26.75	0.0
26.80	0.0
26.85	0.0
26.90	0.0
26.95	0.0
27.00	0.0
	
	
	
